2018-05-16 11:21:24,463 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-05-16 11:22:04,151 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.bizleap.commons:bizleap-commons:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-commons\pom.xml.
2018-05-16 11:22:06,910 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.bizleap.commons:bizleap-commons-domain:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-commons\bizleap-commons-domain\pom.xml.
2018-05-16 11:22:08,256 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.bizleap.commons:bizleap-commons:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-commons\pom.xml.
2018-05-16 11:22:08,310 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:08,357 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-05-16 11:22:08,370 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:08,465 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2018-05-16 11:22:09,992 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.bizleap.commons:bizleap-commons-domain:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-commons\bizleap-commons-domain\pom.xml.
2018-05-16 11:22:12,245 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:12,254 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-16 11:22:12,256 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:12,265 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-05-16 11:22:21,224 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.bizleap.ds:bizleap-ds:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-ds\pom.xml.
2018-05-16 11:22:22,381 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.bizleap.ds:bizleap-ds-application:0.0.1-SNAPSHOT @ D:\dsworkspace\bizleap-ds\bizleap-ds-application\pom.xml.
2018-05-16 11:22:23,495 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:23,511 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-05-16 11:22:23,648 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-05-16 11:22:23,695 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
